Date,Close,High,Low,Open,Volume
2020-07-10,91.81855010986328,92.12957900229641,89.62302700198765,89.94320585577928,301400
2020-07-13,91.63558197021484,93.0718187512681,91.11414586446621,92.66931120010925,518500
2020-07-14,92.87972259521484,93.30968008091531,91.67218583804863,92.01066464111362,278600
2020-07-15,95.00203704833984,95.32221584943632,93.37369316329972,94.87396552790126,265100
2020-07-16,96.11809539794922,97.33478182840572,94.61782302482031,94.77333744632618,345400
2020-07-17,95.29476928710938,96.52060562339452,95.09351205433315,96.44741990613514,397300
2020-07-20,94.41658020019531,95.65155975966293,93.90429403730516,95.03864496058,237000
2020-07-21,95.7796401977539,96.20959768699534,94.53551056141217,94.53551056141217,263600
2020-07-22,96.90482330322266,97.04204478267732,95.48687964781509,95.48687964781509,216900
2020-07-23,98.20386505126953,99.07293000391427,96.58467069684393,96.58467069684393,352700
2020-07-24,97.69157409667969,98.75273935007692,97.25246666051041,98.54233908351475,296200
2020-07-27,96.6669692993164,97.3713696083551,95.76131873849788,97.09692666053175,327400
2020-07-28,96.95059967041016,97.48117887285585,96.1272774881644,96.16387036063941,317400
2020-07-29,98.41425323486328,98.70698915664701,96.68528060630076,96.94142366543967,353600
2020-07-30,96.31021881103516,97.15183379948725,95.32223235709107,96.47488322002583,383900
2020-07-31,98.31364440917969,98.37768018686212,96.18215684158749,96.23704265692204,408500
2020-08-03,98.14896392822266,99.14609330036006,97.65497073289191,98.65210010502932,352700
2020-08-04,98.0208969116211,99.04546923415943,97.41712509637487,97.55434659796497,427400
2020-08-05,111.8892593383789,114.1762608421762,102.83273896684139,105.01911184612163,1147300
2020-08-06,108.74236297607422,111.70631532404254,107.90074101803955,111.20317214148787,501300
2020-08-07,111.79779052734375,111.88926919968313,108.32155212282017,108.35813800825566,428400
2020-08-10,113.61825561523438,113.9475844588221,111.13914630555396,112.62112610169875,341500
2020-08-11,114.3134994506836,117.01216581700795,113.87439900463386,115.65825765304047,493400
2020-08-12,113.86522674560547,117.54272890285564,113.03275488644894,115.60334920434627,292000
2020-08-13,113.83780670166016,114.35009288438192,112.52049139823181,113.36210640681068,322400
2020-08-14,114.41412353515625,115.14596688860361,112.74003657522385,112.74003657522385,216100
2020-08-17,113.95673370361328,115.03619891093868,113.18830439299661,114.45987692797618,320300
2020-08-18,113.07850646972656,114.6336647494865,112.85895627267955,113.8743855306625,315700
2020-08-19,113.01447296142578,114.57878123294942,112.71258707234884,113.61823776020461,251400
2020-08-20,111.63314056396484,112.86812024871647,111.53251191756367,111.81610491168344,264300
2020-08-21,110.3615493774414,112.2094505908508,110.21518490335332,111.56908595101214,251900
2020-08-24,113.1425552368164,113.30721964836835,110.37071012517198,110.41644597431791,217400
2020-08-25,112.38325500488281,114.45985632505207,112.2277405742093,114.45985632505207,213400
2020-08-26,111.34037780761719,112.36495697028289,110.52620584937709,112.36495697028289,576800
2020-08-27,113.1242446899414,114.56962432267757,111.5233436520575,111.66055815751928,277800
2020-08-28,112.80243682861328,114.40233900192216,112.53578529720932,114.33797532297051,317600
2020-08-31,111.77259826660156,112.86678769972872,110.99103739227392,112.72886354187935,314600
2020-09-01,113.23458099365234,113.28974784971265,110.80714111540338,111.10137603958162,354700
2020-09-02,114.03453063964844,115.0919398300059,112.63691647695197,113.28055319363177,315000
2020-09-03,112.17720031738281,116.37924762243753,111.22093481712567,114.84370894106506,374300
2020-09-04,112.79325103759766,114.4115470002759,111.29449264402405,114.4115470002759,278500
2020-09-08,110.62324523925781,112.56335927558489,110.39337397443342,112.11281356076107,344600
2020-09-09,111.57952880859375,113.2162113596543,110.92669515143564,111.58872562492428,455000
2020-09-10,108.83025360107422,112.70128490946185,108.64635939285863,111.67145910415714,348200
2020-09-11,109.14286041259766,110.2462465581642,108.5819740336685,108.59117084737109,313400
2020-09-14,109.8324966430664,111.58871661934461,109.63021580592778,110.20029210033505,194200
2020-09-15,107.81883239746094,110.22787903975947,107.74527190064333,109.74974984067516,209300
2020-09-16,108.2509765625,109.95202247902463,107.97512824517639,108.46245419268253,378700
2020-09-17,109.85087585449219,110.0991337218695,106.76140564316364,107.20275452185975,468400
2020-09-18,110.27384185791016,111.45997840917708,109.81409933486628,109.87846300748785,563800
2020-09-21,110.40258026123047,111.45998957316583,108.2693750212466,108.2693750212466,686500
2020-09-22,111.17493438720703,112.62771535140762,109.91523741550574,109.91523741550574,501000
2020-09-23,109.17047119140625,113.40929113321302,108.83945598758179,111.64388138955906,627200
2020-09-24,108.35211181640625,109.87846032287412,107.02805815266755,108.8026645288633,270000
2020-09-25,108.33373260498047,108.6831344123904,107.08323232619878,107.48780800907359,303300
2020-09-28,110.43016815185547,111.59791825296523,109.48309954370333,109.57504665821142,228800
2020-09-29,110.8807144165039,111.23932009037561,108.87624345992407,110.35660814485092,265300
2020-09-30,111.542724609375,113.5196187890572,111.0370120616235,111.4415806968019,479800
2020-10-01,112.60934448242188,112.83001894838814,110.43016220877112,111.57951861605457,322200
2020-10-02,113.4920425415039,114.40233079713975,111.06460251639875,111.44158774747446,275400
2020-10-05,115.26664733886719,115.76317011159935,114.13567763179158,114.91724554255092,281300
2020-10-06,113.00472259521484,115.85512506278421,112.43463929565507,115.65283721406574,365900
2020-10-07,113.8414535522461,114.72415844959069,112.48061946617462,113.77708987270373,393900
2020-10-08,115.5149154663086,115.62525620841006,113.99777059932394,114.72415768570193,522800
2020-10-09,115.4597396850586,117.20676271693199,115.32181552186331,116.32405789364229,425600
2020-10-12,116.17692565917969,116.72861524339336,114.954008953845,115.21147064058415,238700
2020-10-13,112.65528869628906,116.48034930984625,112.36105380410108,115.5148873430755,247100
2020-10-14,112.58174133300781,114.81609007803785,112.35187009181178,112.35187009181178,334000
2020-10-15,113.20700073242188,113.66674325275562,109.85087893096272,111.00023523179708,273300
2020-10-16,113.52883911132812,115.0000140327746,112.68291440838581,113.51044547880764,291400
2020-10-19,111.98407745361328,114.3011765351358,111.68064572415386,113.46444884448817,221900
2020-10-20,112.72887420654297,113.7770866811813,112.50819974217562,112.91277543944472,184100
2020-10-21,113.0414810180664,113.8966022947593,112.48978444075739,112.48978444075739,298300
2020-10-22,114.55863952636719,114.98160882456592,112.33348737900845,112.56335864254008,236400
2020-10-23,115.84591674804688,116.77459859083585,114.34715867740083,115.57926524803364,258500
2020-10-26,113.24378967285156,114.77932812506641,111.7818046980522,114.31038875408005,195300
2020-10-27,110.97267150878906,113.46447556966234,110.83474732517445,113.29896795234788,186900
2020-10-28,112.37026977539062,113.8414444871499,109.03254149041979,109.03254149041979,402300
2020-10-29,115.11952209472656,115.81833267656701,110.31061935201598,111.70823350058285,360700
2020-10-30,114.35635375976562,115.68040741014768,113.02309627989425,114.26439964623978,286300
2020-11-02,119.46871948242188,119.78135515050705,115.20231522432442,115.39540629743048,881800
2020-11-03,116.14017486572266,120.72841112380783,114.54027256131137,119.98363034703482,961400
2020-11-04,115.75396728515625,119.5790282919445,113.81385335389527,113.81385335389527,438500
2020-11-05,117.10562896728516,117.77684919661314,115.18390136081436,116.65508320916356,324700
2020-11-06,116.85736083984375,118.98136922777435,116.5263526496817,118.11706499810167,259400
2020-11-09,121.18814086914062,125.84992310285904,120.10314113856207,125.45455123822552,716100
2020-11-10,123.35812377929688,123.37650337944187,120.98585054928395,122.74207044894055,719000
2020-11-11,120.99504089355469,124.09371521987639,120.14911628551911,123.40410139515105,638800
2020-11-12,120.28703308105469,121.24329129699481,118.97216225013106,120.32380630734075,344900
2020-11-13,122.76045989990234,123.12826238575312,121.1145876201896,121.28008821614976,428300
2020-11-16,126.07061004638672,126.72345067913271,124.35117729780431,125.52811717269483,466100
2020-11-17,127.43144226074219,127.60614668228233,123.71672846624541,124.829297629375,558900
2020-11-18,124.70053100585938,128.43363725617047,124.60859093889246,127.56933328159961,342500
2020-11-19,124.05692291259766,124.21323368954953,122.46621768340181,123.79027841785123,284700
2020-11-20,123.10987091064453,124.36956112495494,122.77885568269495,123.67994723591252,423800
2020-11-23,124.43392181396484,124.93964143129931,123.79028504200706,124.6637930918233,379100
2020-11-24,125.12351989746094,125.86830049913544,124.29597498320115,125.65682287858989,517200
2020-11-25,124.66378021240234,125.1327125199041,123.3856966007615,124.38793190142512,377500
2020-11-27,123.61967468261719,124.719216666774,123.35172582626878,124.31266190636028,158300
2020-11-30,119.3046875,123.60121716326816,119.23076716376745,122.77887280861705,504500
2020-12-01,121.37442016601562,122.58483576706946,120.79230630336464,121.40213853101203,455700
2020-12-02,121.57768249511719,122.06739234779593,120.31183032108285,120.48737524466502,619000
2020-12-03,122.13207244873047,122.64951479836489,121.21733825499514,121.21733825499514,604900
2020-12-04,122.50166320800781,123.18541567778962,121.7070372940467,122.7973304254397,338700
2020-12-07,121.34668731689453,121.97498898030237,120.70913680034973,121.54071584870987,476900
2020-12-08,121.90106201171875,122.77885708024273,120.45041613321727,120.45041613321727,395900
2020-12-09,121.20808410644531,122.49243402124836,120.9955719624892,122.24295466164486,376000
2020-12-10,122.44622802734375,122.88050115432783,120.65369879661992,120.85697617941508,379500
2020-12-11,122.1690673828125,123.21317297498226,121.4853146969605,121.95655518135989,257000
2020-12-14,121.64234161376953,124.1555761980324,121.59615374843925,123.58271131888101,244600
2020-12-15,122.32611083984375,123.7582873334275,121.70704391141453,122.2614393601766,470600
2020-12-16,124.00778198242188,124.56216340066386,122.68647877616098,123.01911326665164,310900
2020-12-17,122.3076171875,124.92249059809528,122.12282341937589,124.41429716160843,434200
2020-12-18,121.30970764160156,123.45335471768894,120.34877163778103,122.1967374210867,915100
2020-12-21,120.87545013427734,121.61462517756694,119.1753108776747,120.96783996525843,370300
2020-12-22,121.49452209472656,122.44622339688623,121.11568570485618,121.1896060320646,334200
2020-12-23,122.372314453125,123.30553223557813,121.5684537306046,121.5684537306046,260600
2020-12-24,122.53862762451172,122.75115387727098,121.82717082693055,122.47395614239636,86700
2020-12-28,123.24085998535156,123.85067806473323,122.42775041435996,122.88050717072794,188300
2020-12-29,122.45548248291016,123.71210009742468,121.97500731001423,123.71210009742468,204500
2020-12-30,123.8414535522461,124.30344510145207,122.36307495524169,122.36307495524169,210900
2020-12-31,125.86495208740234,126.03126224237427,123.69358662731202,124.23874725483823,233100
2021-01-04,122.0673828125,126.2068223019055,121.08796318364988,125.85571838330623,395700
2021-01-05,122.10433959960938,123.30552023860892,121.04176486060636,122.29838222006022,258700
2021-01-06,127.46345520019531,128.33200149761362,123.07453584104456,123.49032538161275,371300
2021-01-07,128.74777221679688,130.05059147246772,127.71291589397975,127.95314636924516,381000
2021-01-08,128.07327270507812,128.79397825251795,126.15138654561846,128.79397825251795,188700
2021-01-11,127.3341064453125,128.34124462231563,126.844396539105,126.89059851303954,183200
2021-01-12,130.4386749267578,130.57728083236483,128.31351126386855,128.6553945519435,353400
2021-01-13,129.68104553222656,130.72513694306588,129.12664998220262,130.01368004246802,333800
2021-01-14,128.5537567138672,130.429441038201,128.0547980085486,129.63481511024224,328100
2021-01-15,129.51467895507812,129.5331625604099,127.07536470910226,127.51887254504517,306100
2021-01-19,132.11109924316406,132.47145208698984,129.5239437521481,130.6419695028638,321400
2021-01-20,131.21484375,132.74865918253016,131.16865587099485,131.612163841039,277200
2021-01-21,127.2417221069336,131.75999901569557,126.70581020358212,130.89145262401777,262100
2021-01-22,124.64531707763672,127.01996046023692,124.47900688371912,126.47481380391126,305300
